YearMonth,AccidentCount
2016-01,2
2016-02,58
2016-03,378
2016-04,1196
2016-05,1185
2016-06,1941
2016-07,3055
2016-08,3566
2016-09,3603
2016-10,3570
2016-11,4281
2016-12,3828
2017-01,3586
2017-02,3374
2017-03,3718
2017-04,3164
2017-05,2639
2017-06,2904
2017-07,2744
2017-08,5334
2017-09,5043
2017-10,4822
2017-11,4571
2017-12,4553
2018-01,4874
2018-02,4679
2018-03,4754
2018-04,4773
2018-05,4939
2018-06,4416
2018-07,4223
2018-08,4875
2018-09,4784
2018-10,5472
2018-11,5270
2018-12,4519
2019-01,5189
2019-02,4892
2019-03,4375
2019-04,4783
2019-05,4749
2019-06,4234
2019-07,4424
2019-08,4923
2019-09,5667
2019-10,7032
2019-11,5233
2019-12,6351
2020-01,5909
2020-02,5508
2020-03,5469
2020-04,5738
2020-05,5641
2020-06,6429
2020-07,2297
2020-08,2416
2020-09,5370
2020-10,8316
2020-11,10771
2020-12,11155
2021-01,9014
2021-02,9398
2021-03,5374
2021-04,5507
2021-05,6111
2021-06,7658
2021-07,6613
2021-08,7062
2021-09,7916
2021-10,7898
2021-11,9051
2021-12,10339
2022-01,6631
2022-02,7836
2022-03,6729
2022-04,9234
2022-05,7455
2022-06,6153
2022-07,6895
2022-08,7098
2022-09,6146
2022-10,3741
2022-11,5625
2022-12,8152
2023-01,7015
2023-02,2343
2023-03,1279
