,num_missing
End_Lng,220377
End_Lat,220377
Precipitation(in),142616
Wind_Chill(F),129017
Start_Time,48163
End_Time,48163
Wind_Speed(mph),36987
Visibility(mi),11291
Wind_Direction,11197
Humidity(%),11130
Weather_Condition,11101
Temperature(F),10466
Pressure(in),8928
Weather_Timestamp,7674
Sunrise_Sunset,1483
Civil_Twilight,1483
Nautical_Twilight,1483
Astronomical_Twilight,1483
Airport_Code,1446
Street,691
Timezone,507
Zipcode,116
City,19
Description,1
Railway,0
Severity,0
Start_Lat,0
Start_Lng,0
Turning_Loop,0
Traffic_Signal,0
Traffic_Calming,0
Stop,0
Station,0
Roundabout,0
Give_Way,0
No_Exit,0
Junction,0
Crossing,0
Bump,0
Amenity,0
Distance(mi),0
County,0
Source,0
State,0
Country,0
ID,0
