Feature,Importance
Crossing,0.027576292
Stop,0.019386904
Traffic_Signal,0.019024847
State_GA,0.014335743
City_Charlotte,0.012500873
State_SC,0.012200305
State_IL,0.010839349
City_Saint Louis,0.010838654
Wind_Chill(F),0.0102516785
State_WA,0.009925158
State_CO,0.009626957
Cos_Hour,0.009415663
State_OR,0.008905813
State_LA,0.008875833
City_Louisville,0.008693631
State_MO,0.008500986
Station,0.008019142
City_Austin,0.007964596
City_Saint Paul,0.007349481
City_Jacksonville,0.0073217954
State_OK,0.0071499655
City_Chicago,0.0071479804
City_Fort Worth,0.0070825145
State_PA,0.007068213
Start_Lng,0.006396018
State_NC,0.0058187568
City_Castaic,0.005797917
State_NV,0.005795032
City_Augusta,0.0057233437
State_CA,0.005686061
City_Springfield,0.005664908
City_Bronx,0.0055506937
State_MN,0.005472463
City_San Diego,0.0054350514
State_WI,0.0054254066
City_Columbus,0.0054152785
City_Denver,0.005386481
City_Philadelphia,0.0053299754
State_FL,0.0051813396
City_Dayton,0.0051574227
City_Spring,0.0051533203
City_Baldwin Park,0.00509634
City_Detroit,0.005093138
City_Grand Rapids,0.0050420538
City_Baton Rouge,0.0050189034
City_Charleston,0.0049122474
City_Tampa,0.004898988
WeatherClass_Unknown,0.0048852214
City_Fort Lauderdale,0.0048555424
City_Orlando,0.0048061567
City_Jackson,0.0047914786
City_Livermore,0.004750303
MonthOfYear,0.0047357026
Amenity,0.0046842517
Start_Lat,0.004664638
City_Flint,0.0045803892
City_Indianapolis,0.004518813
City_Mesquite,0.0044287774
State_OH,0.00433401
City_Anaheim,0.004318338
City_Mobile,0.00428045
City_Greenville,0.00426893
City_Tulsa,0.0042488766
State_TX,0.0042077093
City_Albany,0.0041971514
City_Lafayette,0.0041667935
City_Fairfield,0.004133819
City_Downey,0.0040918402
State_MI,0.004081035
City_Elgin,0.0040319697
City_Garland,0.0040278393
City_Diamond Bar,0.004001504
State_NM,0.0039877784
State_NE,0.003969606
City_Metairie,0.003862798
City_Lancaster,0.0038376392
City_San Francisco,0.003783142
City_Tucson,0.0037662517
City_Buffalo,0.0037101235
State_IA,0.0037079104
City_Hacienda Heights,0.0036802331
City_Saint Petersburg,0.0036354861
City_San Mateo,0.003625285
City_Dallas,0.0036054663
City_Rowland Heights,0.0035482168
City_Fremont,0.00353779
